url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://hcmc.ftu.edu.vn/thu-vien/tin-tuc-thu-vien/noi-quy-thu-vien/,ftu-library-rules,Nội quy Thư viện Đại học Ngoại thương,all,library,rules,vi,2026-08-10,public-source
https://lib.haui.edu.vn/opac80/ChinhSach.aspx,haui-library-policy,Nội quy Thư viện Đại học Công nghiệp Hà Nội,all,library,policy,vi,not-stated,public-source
https://thuvien.huit.edu.vn/Page/quy-dinh-su-dung-thu-vien,huit-library-usage-policy,Quy định sử dụng Thư viện HUIT,all,library,policy,vi,not-stated,public-source
https://infolib.vnua.edu.vn/dich-vu/muon-tra-tai-lieu,vnua-library-borrowing,Mượn trả tài liệu VNUA,all,library,borrowing,vi,not-stated,public-source
https://library.hust.edu.vn/vi/node/1362,dich-vu-su-dung-phong-hop-nhom,Dịch vụ sử dụng phòng họp nhóm,student,library,facility,vi,not-stated,public-source
https://library.hust.edu.vn/vi/node/1300,muon-tra-tai-lieu-inhouse,Mượn trả tài liệu đọc tại chỗ,student,library,circulation,vi,not-stated,public-source
https://library.hust.edu.vn/vi/node/1034,quy-trinh-lam-the-can-bo,Quy trình làm thẻ thư viện cho cán bộ giảng viên,faculty,library,service,vi,not-stated,public-source
https://library.hust.edu.vn/vi/node/305,quy-dinh-lam-the-ban-doc,Quy định làm thẻ bạn đọc thư viện,student,library,service,vi,not-stated,public-source
https://library.hust.edu.vn/vi/node/61,thu-tuc-thanh-toan-ra-truong,Thủ tục thanh toán ra trường tại thư viện,student,library,graduation,vi,not-stated,public-source
https://library.hust.edu.vn/vi/node/57,phong-doc-tu-chon,Quy định phòng đọc tự chọn,all,library,facility,vi,not-stated,public-source
